Rank,Things-Ch,Things-English
1,坚尼地城看日落,Watch the sun melt into the sea at Kennedy Town.
2,"旺角中心、太安楼或葵涌广场扫街吃小吃,","Graze your way through Mong Kok Centre, Tai On Building or Kwai Chung Plaza, snacking street by street."
3,乘天星小轮赏维港风景。,Cross Victoria Harbour on the Star Ferry and let the skyline glide past you.
4,坐叮叮车到跑马地看全港首间 7-Eleven便利店。,Ride the ding-ding to Happy Valley and salute Hong Kong’s very first 7-Eleven.
5,去马场看赛马感受热烈氛围,Feel the roar of the crowd and the thunder of hooves at the races.
6,上环、西营盘或大坑散步拍照。,"Wander and shoot in Sheung Wan, Sai Ying Pun or Tai Hang, where old shopfronts glow in afternoon light."
7,百德新街购买潮牌服饰。,Hunt the latest drops on Paterson Street’s fashion strip.
8,中环码头坐渡轮去离岛,Board a ferry from Central Pier and watch the city shrink behind you as an island draws near.
9,坐水晶缆车去天坛大佛并参观心经林。,"Take the crystal cabin to the Big Buddha, then lose yourself in the Heart Sutra bamboo grove."
10,从金钟漫步到铜锣湾，逛星街、月街。,"Stroll from Admiralty to Causeway Bay, threading Star Street and Moon Street’s quiet boutiques."
11,深水短降暄氨Γ体验贴地生活,"Treasure-hunt through Sham Shui Po’s thrift dens and back-alley workshops, breathing the city’s salt-of-the-earth air."
12,街市大排档品尝地道风味美食。,Pull up a plastic stool at a cooked-food market and taste Hong Kong on a sizzling wok.
13,元朗一日游，打卡B仔凉粉。,Spend a day in Yuen Long and cool your tongue with B仔’s famous grass-jelly.
14,西贡看海景，住一晚听海浪声入睡,"Watch Sai Kung’s jade waters fade to ink, then fall asleep to the hush of waves just outside your window."
15,城门水塘徒步观猴。,Hike the monkey-threaded paths of Shing Mun Reservoir and meet the city’s wilder eyes.
16,茶餐厅品尝冻柠茶和港式美食。,"In a cha chaan teng, let iced lemon tea and Cantonese comfort food reset your clock to Hong Kong time."
17,茶楼饮早茶，吃虾饺、烧卖等点心。,"Dim-sum morning: bamboo steamers of har-gow, siu-mai and laughter clattering among teacups."
18,大东山看芒草，赏陈奕迅专辑封面同款美景。,Climb Sunset Peak’s silver grass fields and stand inside the cover of an Eason Chan album.
19,去香港迪士尼看烟花。,End a Disney day with fireworks flowering above Sleeping Beauty Castle.
20,夜晚去中环散步,"When night folds the city in neon, walk Central’s mid-level escalators and let the lights write stories on your face."
21,文武庙求签感受传统信仰。,Draw a fortune slip at Man Mo Temple to feel the pulse of living faith.
22,西环“和昌大押”看百年当铺建筑。,Admire the century-old pawnshop architecture of “Wo Cheong Pawn” in Sai Ying Pun.
23,参加粤剧工作坊学唱经典片段。,Join a Cantonese-opera workshop and learn to sing a classic aria.
24,用“香港博物馆通行证”打卡多家博物馆,Flash the “Hong Kong Museum Pass” and tick off museum after museum.
25,M+博物馆看草间弥生南瓜雕塑。,Gaze at Yayoi Kusama’s spotted pumpkin in the halls of M+.
26,坐一次落日飞车,Take a sunset ride on the “Flying Wheel” as the sky turns to fire.
27,在街头偶遇一次港星。,Bump into a Hong Kong star right on the street corner.
28,中环“都爹利街”打卡煤气灯。,Step onto Duddell Street to greet the last gas-lit lamps in Central.
29,吃富豪雪糕车的雪糕,"Queue for a soft-serve from the富豪雪糕车, the city’s roving sweet."
30,兰芳园喝丝袜奶茶搭配菠萝油。,"At Lan Fong Yuen, let silk-stocking milk tea meet a crisp pineapple bun."
31,深水丁肮和豆品厂”吃现磨豆腐花。,"In Sham Shui Po, taste just-set soybean pudding at Kung Wo Beancurd Factory."
32,去尖沙咀中港城观景台看日落,Watch the sun sink from the China Hong Kong City deck in Tsim Sha Tsui.
33,赤柱市集买手工皮具，美利楼吃下午茶,"Hunt for hand-stitched leather in Stanley Market, then afternoon-tea beneath Murray House’s colonnades."
34,买一款自己喜欢的礼物,Buy yourself a gift that whispers “Hong Kong” every time you see it.
35,麦理浩径第二段徒步露营看星空,Camp along Stage 2 of the MacLehose Trail and fall asleep under spilled stars.
36,长洲岛体验“抢包山”节庆活动。,"On Cheung Chau, chase the Bun-scrambling frenzy of the annual festival."
37,南丫岛游泳后品尝现捞海鲜,"Swim at Lamma, then feast on seafood hauled from the water minutes ago."
38,大屿山贝澳沙滩露营看日出。,"Wake on Pui O Beach, Lantau, to watch daybreak climb out of the South China Sea."
39,九龙公园喂锦鲤观雀鸟会。,Feed koi and count kingfishers in Kowloon Park’s aviary.
40,看维港的烟花,Let Victoria Harbour’s fireworks bloom twice in your eyes.
41,嘉顿山看深水兑咕芭墓屋灯火。,From Garden Hill look down on Sham Shui Po’s neon public-housing constellations.
42,西港城逛传统布料市场。,Browse bolts of tradition inside the Western Market’s old fabric bazaar.
43,"鸭寮街淘二手相机感受怀旧气息""","Rummage for vintage cameras on Apliu Street, where time smells of leather and brass."
44,吃香港的麦当劳汉堡、,"Taste a Hong-Kong-only McDonald’s burger―familiar, yet oddly local."
45,Ozone酒吧俯瞰维港夜景喝鸡尾酒,Sip a skyline-coloured cocktail at Ozone while the harbour glitters 118 floors below.
46,湾仔“The Pawn”天台酒吧赏跑马地风景。,"On The Pawn’s rooftop in Wan Chai, let the Happy Valley racecourse unfold like a green fan."
47,中环“终审法院”看古希腊柱廊建筑。,Study the Greek-revival colonnade of the Court of Final Appeal in Central.
48,参观“大馆”监狱遗址参加夜间导览。,"Walk the former prison yard of Tai Kwun at night, history whispering through the bricks."
49,逛香港的夜市,Lose yourself in a night market’s lantern-lit labyrinth.
50,参加陶艺工作坊制作茶杯。,"Shape your own teacup in a pottery studio, palms full of clay and possibility."
51,去香港故宫文化博物馆欣赏文物。,Wander the Hong Kong Palace Museum and lock eyes with antiquity.
52,到油街实现看创意艺术展,Let oil-street art ignite your imagination at Oil Street.
53,春节期间逛太子花墟买年花。,"During Lunar New Year, weave through Prince Edward Flower Market and carry spring home in your arms."
54,去香港海洋公园看大熊猫,Say hello to the giant pandas at Ocean Park.
55,到香港迪士尼乐园享受欢乐时光,Trade adulthood for a day of wonder in Hong Kong Disneyland.
56,乘坐山顶缆车登上太平山顶俯瞰香港,Ride the Peak Tram uphill until the city folds into a glittering map below.
57,到西九文化区欣赏街头艺术表演。,Catch roaming street artists in the West Kowloon Cultural District.
58,参加香港艺术节感受艺术氛围。,Immerse yourself in the city-wide pulse of the Hong Kong Arts Festival.
59,去香港科学馆体验互动展品60.在维多利亚港观看烟花表演。,Press every button in the Hong Kong Science Museum.
60,,"Watch fireworks stitch gold threads across Victoria Harbour―again, because once is never enough."
61,到尖沙咀钟楼打卡拍照,Snap the timeless clocktower at Tsim Sha Tsui waterfront.
62,去香港历史博物馆了解香港历史变迁,Let the Hong Kong History Museum narrate a century in one afternoon.
63,漫步星光大道，寻找明星手印。,"Stroll the Avenue of Stars, palm against palm with your screen idols."
64,到铜锣湾时代广场购物血拼。,"Shop till your feet sing in Times Square, Causeway Bay."
65,去赤柱海滩晒太阳、踏浪。,Sun-bake and wave-chase on Stanley’s curved blonde beach.
66,阅读一份香港的报纸,Spread a Hong Kong newspaper and read the city in ink and headlines.
67,到北角春秧街看叮叮车从街市中穿过。,"Stand on Chun Yeung Street, North Point, as the ding-ding tram threads through the market."
68,去香港大学参观百年建筑。,Roam the red-brick century-old campus of the University of Hong Kong.
69,在大澳渔村体验水上人家生活，,"In Tai O fishing village, taste life on stilts above the tidal creek."
70,到香港湿地公园观鸟赏湿地风光。,Bird-watch and breeze-catch in the wetlands of Hong Kong Wetland Park.
71,品尝泰昌饼家的蛋挞。,Bite into the still-warm custard crown of Tai Cheong Bakery’s egg tart.
72,去屯门黄金海岸看日落、吹海风。,"At Golden Beach, Tuen Mun, let sunset and sea-wind rinse the city off you."
73,"参加香港美食节品尝各地美食,",Graze the globe at the Hong Kong Food Expo.
74,到沙田马场旁的彭福公园散步。,"Saunter through Penfold Park beside Sha Tin Racecourse, horses thundering in the distance."
75,去元朗锦田看古老围村。,"Step into the walled villages of Kam Tin, Yuen Long, where clan stories cling to grey brick."
76,在西环泳棚拍摄港风照片。,Frame a wind-swept selfie at the Sai Wan Swimming Shed.
77,到香港太空馆探索宇宙奥秘。,Travel to the edge of the universe inside the Hong Kong Space Museum.
78,去长洲岛吃糯米糍。,"On Cheung Chau, sink your teeth into a softball-sized glutinous-rice dumpling."
79,"参加香港书展选购心仪书籍,",Lose an afternoon (and gain a stack of books) at the Hong Kong Book Fair.
80,到荔枝角公园划船。,Paddle a boat across Lai Chi Kok Park’s quiet lake.
81,去黄大仙祠上香祈福,Offer incense and a quiet wish at Wong Tai Sin Temple.
82,到油麻地警署感受港片氛围:,Pose beneath the pillared fa?ade of Yau Ma Tei Police Station―scene of a thousand film shoots.
83,乘坐复古巴士游香港,"Tour the city in a heritage double-decker, windows wide to the wind."
84,去荃湾南丰纱厂看创意展览。,"Explore creative rebirth inside The Mills, Tsuen Wan’s former cotton-spinning giant."
85,在大帽山观赏日出云海。,Climb Tai Mo Shan at dawn and stand above a sea of clouds.
86,到葵涌货柜码头看繁忙港口景象,Gaze at the choreographed chaos of container ships in Kwai Tsing Port.
87,去石澳健康院打卡电影拍摄地:,"Visit the Shek O Health Clinic, silver-screen shrine for movie buffs."
88,参加香港龙舟竞渡活动。,Feel drumbeats race dragon-boats across the harbour during the Dragon Boat Carnival.
89,到旺角花鸟虫鱼市场逛一逛,"Wander the bird, flower, cricket and fish market in Mong Kok."
90,去离岛长洲体验渔村生活:,Live the slow life on outlying Cheung Chau island.
91,"在中环街市品尝各种美食小吃,",Graze your way through Central Market’s artisan food stalls.
92,到香港演艺学院观看一场演出。,Take your seat at the Hong Kong Academy for Performing Arts and let curtains rise on a live show.
93,去流浮山吃海鲜看日落。,Feast on oysters and sunset at Lau Fau Shan.
94,参加香港国际七人榄球赛,Cheer yourself hoarse at the Hong Kong Sevens rugby tournament.
95,到九龙湾德福广场购物娱乐:,"Shop, dine and skate beneath the glass vault of Telford Plaza, Kowloon Bay."
96,去香港动植物公园认识动植物。,Meet furry and feathered residents of the Hong Kong Zoological and Botanical Gardens.
97,在昂坪 360体验缆车观光。,Glide above Lantau in the Ngong Ping 360 crystal cabin.
98,到尖沙咀1881 Heritage看历史建筑与时尚店铺结合。,Admire how 1881 Heritage marries colonial grandeur with high fashion.
99,去台湾旅游,Fly to Taiwan for a change of passport stamp.
100,在香港街头尝试一次写真摄影,Hire a street photographer to freeze you in a frame of Hong Kong light and shadow.
