App_name,App_use,Related_app,Type
MTR Mobile,港铁线路/票价/实时到站,上海/广州地铁官方 App,生活工具
KMB & LWB 1933,城巴/龙巴线路&预计到站,车来了 / 高德实时公交,生活工具
八达通 Octopus,交通卡线上充值+消费记录,上海交通卡 / 岭南通,生活工具
Uber,打车+预估价+电子支付,滴滴出行,生活工具
Google Maps,地图导航+实时路况,高德地图,生活工具
我的天文台 HKO,官方台风/暴雨/温度预警,中国天气 / 墨迹天气,生活工具
AlipayHK,港版支付宝：缴水电+扫码付,支付宝,生活工具
yuu,超市百货积分统一平台,多点 / 华润通,生活工具
Whoscall,来电识别+防骚扰/诈骗,腾讯手机管家,生活工具
小红书,生活攻略+图文分享,小红书（同一产品）,生活工具
WhatsApp,本地主力聊天+组群+语音,微信（功能类似，生态不同）,网上娱乐
Instagram,图片短视频+限时动态,小红书 / 抖音,网上娱乐
Gmail,收发境外邮件+学校绑定,QQ 邮箱 / 网易邮箱,网上娱乐
YouTube,在线视频+直播,哔哩哔哩 / 腾讯视频,网上娱乐
Spotify,流媒体音乐+歌单,网易云音乐,网上娱乐
Netflix,剧集电影+原创纪录片,爱奇艺国际版 / 腾讯视频,网上娱乐
QuickFox,境外回内地网络加速,穿梭 / 快连 VPN,网上娱乐
Trip.com,酒店/机票/度假套餐,携程旅行（同公司）,玩乐
HK TICKETING 快达票,演唱会/赛事官方售票,大麦,玩乐
Timable,本地活动/展览/演出日历,豆瓣同城 / 走起,玩乐
Klook,景点门票+一日游+交通券,飞猪 / 美团旅行,玩乐
HKMovie,影院排片+在线选座,猫眼 / 淘票票,玩乐
OpenRice,餐厅订位+食评+优惠券,大众点评,玩乐
Google Translate,文字/拍照/同声传译,有道翻译官 / 百度翻译,学习
有道翻译官,离线翻译+粤语语音,同上,学习
粤语翻译神器,粤语<->普通话语音实时转,讯飞输入法粤语模式,学习
Outlook,学校邮箱+日历+协作,腾讯企业邮 / 网易邮箱大师,学习
Zoom,网课/小组会议/录制,腾讯会议,学习
Chrome,查资料+插件+翻译,谷歌浏览器（同一产品）,学习
云端硬盘 Google Drive,实时多人编辑+云盘,百度网盘+腾讯文档,学习
foodpanda,香港外卖平台，提供餐饮、超市商品等即时配送服务,饿了么 / 美团外卖,网购外卖
羲,香港外卖平台，主打餐厅美食送餐上门，支持会员免配送费,饿了么 / 美团外卖,网购外卖
,麦当劳官方 App，支持提前点单、到店取餐或外送，可享会员优惠,麦当劳（麦乐送）,网购外卖
HKTVmall,香港综合网购平台，涵盖超市百货、生鲜、药品等，支持本地配送,京东到家 / 淘宝,网购外卖
Carousell,香港二手交易平台，用户可买卖闲置物品（服饰、电子产品、家具等）,闲鱼,网购外卖
拼多多,便宜实惠，可以包邮到香港自提点,拼多多（同一产品）,网购外卖
